Product ID,Order Date,Sales,Quantity
FUR-BO-10000112,2018-09-09,825.174,1
FUR-BO-10000330,2015-11-29,411.332,1
FUR-BO-10000330,2016-09-11,411.332,1
FUR-BO-10000330,2018-06-03,241.96,1
FUR-BO-10000362,2015-05-31,290.666,1
FUR-BO-10000362,2015-11-22,1025.88,1
FUR-BO-10000362,2016-01-03,341.96,1
FUR-BO-10000362,2016-03-27,359.058,1
FUR-BO-10000362,2017-06-04,136.784,1
FUR-BO-10000468,2015-08-09,155.456,1
FUR-BO-10000468,2016-09-25,194.32,1
FUR-BO-10000468,2017-02-05,48.58,1
FUR-BO-10000468,2018-06-17,77.728,1
FUR-BO-10000468,2018-08-12,145.74,1
FUR-BO-10000468,2018-12-23,102.018,1
FUR-BO-10000711,2015-06-14,212.94,1
FUR-BO-10000711,2015-08-23,638.82,1
FUR-BO-10000780,2016-08-21,301.47,1
FUR-BO-10000780,2017-10-01,956.6648,1
FUR-BO-10000780,2017-11-05,956.6648,1
FUR-BO-10000780,2018-07-01,409.9992,1
FUR-BO-10000780,2018-11-25,321.568,1
FUR-BO-10001337,2015-04-05,205.666,1
FUR-BO-10001337,2015-04-12,308.499,1
FUR-BO-10001337,2015-09-20,362.94,1
FUR-BO-10001337,2015-11-01,616.998,1
FUR-BO-10001337,2016-11-20,290.352,1
FUR-BO-10001337,2017-08-13,241.96,1
FUR-BO-10001337,2017-10-22,120.98,1
FUR-BO-10001337,2017-12-03,205.666,1
FUR-BO-10001337,2018-04-22,102.833,1
FUR-BO-10001337,2018-06-10,514.165,1
FUR-BO-10001519,2016-04-17,523.26,1
FUR-BO-10001519,2016-11-20,186.048,1
FUR-BO-10001519,2018-06-17,174.42,1
FUR-BO-10001519,2018-07-08,87.21,1
FUR-BO-10001519,2018-12-09,148.257,1
FUR-BO-10001567,2017-10-15,90.882,1
FUR-BO-10001601,2015-11-15,222.666,1
FUR-BO-10001601,2018-02-18,89.0664,1
FUR-BO-10001601,2018-05-06,623.4648,1
FUR-BO-10001608,2015-06-21,193.0656,1
FUR-BO-10001608,2016-07-17,127.764,1
FUR-BO-10001608,2016-12-04,681.408,1
FUR-BO-10001608,2017-04-09,354.9,1
FUR-BO-10001608,2018-01-14,212.94,1
FUR-BO-10001619,2017-11-26,339.92,1
FUR-BO-10001619,2018-01-21,84.98,1
FUR-BO-10001798,2017-04-09,556.665,1
FUR-BO-10001798,2017-11-12,261.96,1
FUR-BO-10001798,2018-05-06,314.352,1
FUR-BO-10001798,2018-08-26,130.98,1
FUR-BO-10001811,2016-03-06,1227.9984,1
FUR-BO-10001811,2016-11-13,613.9992,1
FUR-BO-10001811,2017-07-09,1279.165,1
FUR-BO-10001811,2017-09-10,722.352,1
FUR-BO-10001811,2018-02-11,240.784,1
FUR-BO-10001811,2018-04-01,1023.332,1
FUR-BO-10001811,2018-06-03,204.6664,1
FUR-BO-10001811,2018-09-23,180.588,1
FUR-BO-10001918,2016-07-03,482.94,1
FUR-BO-10001918,2017-09-17,273.666,1
FUR-BO-10001918,2018-04-01,257.568,1
FUR-BO-10001972,2015-01-25,181.47,1
FUR-BO-10001972,2015-03-08,302.45,1
FUR-BO-10001972,2018-04-29,387.136,1
FUR-BO-10001972,2018-09-23,314.548,2
FUR-BO-10001972,2018-10-07,217.764,1
FUR-BO-10001972,2018-12-09,1336.829,1
FUR-BO-10002202,2017-03-19,72.294,1
FUR-BO-10002202,2018-11-18,327.7328,1
FUR-BO-10002206,2018-12-23,119.833,1
FUR-BO-10002213,2015-09-20,801.568,1
FUR-BO-10002213,2015-11-22,4007.84,1
FUR-BO-10002213,2016-07-31,704.9,1
FUR-BO-10002213,2016-09-18,2003.92,1
FUR-BO-10002213,2016-11-06,425.833,1
FUR-BO-10002213,2016-12-04,359.499,1
FUR-BO-10002213,2017-01-22,451.136,1
FUR-BO-10002213,2017-11-26,3406.664,1
FUR-BO-10002213,2018-07-01,400.784,1
FUR-BO-10002213,2018-11-25,359.499,1
FUR-BO-10002268,2016-11-20,145.764,1
FUR-BO-10002268,2017-04-09,388.704,1
FUR-BO-10002268,2018-04-29,220.2656,1
FUR-BO-10002545,2015-11-15,521.96,1
FUR-BO-10002545,2016-07-24,913.43,1
FUR-BO-10002545,2016-09-04,1552.831,1
FUR-BO-10002545,2016-10-16,626.352,1
FUR-BO-10002545,2017-01-01,532.3992,1
FUR-BO-10002545,2017-01-08,1565.88,1
FUR-BO-10002545,2017-10-22,1043.92,1
FUR-BO-10002545,2018-09-16,782.94,1
FUR-BO-10002598,2016-02-07,283.92,1
FUR-BO-10002598,2016-11-27,141.96,1
FUR-BO-10002598,2017-11-26,113.568,1
FUR-BO-10002598,2018-07-01,638.82,1
FUR-BO-10002598,2018-12-02,141.96,1
FUR-BO-10002613,2016-01-03,1573.488,1
FUR-BO-10002613,2016-10-16,899.136,1
FUR-BO-10002613,2016-12-25,1039.626,2
FUR-BO-10002613,2017-10-01,477.666,1
FUR-BO-10002613,2018-07-22,1194.165,1
